,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
226,GO:1901475,pyruvate transmembrane transport,4,2,0.41,1,1,,,,,,,,,,,,,,,,,,
227,GO:0031347,regulation of defense response,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
228,GO:0031349,positive regulation of defense response,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
229,GO:0022402,cell cycle process,36,1,3.65,1,1,,,,,,,,,,,,,,,,,,
230,GO:0072503,cellular divalent inorganic cation homeostasis,6,1,0.61,1,1,,,,,,,,,,,,,,,,,,
231,GO:0032606,type I interferon production,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
232,GO:0006836,neurotransmitter transport,7,2,0.71,1,1,,,,,,,,,,,,,,,,,,
233,GO:0072507,divalent inorganic cation homeostasis,7,1,0.71,1,1,,,,,,,,,,,,,,,,,,
234,GO:0031334,positive regulation of protein-containing complex assembly,6,2,0.61,1,1,,,,,,,,,,,,,,,,,,
235,GO:0051049,regulation of transport,17,2,1.72,1,1,,,,,,,,,,,,,,,,,,
236,GO:0035435,phosphate ion transmembrane transport,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
237,GO:0043603,cellular amide metabolic process,219,17,22.22,1,1,,,,,,,,,,,,,,,,,,
238,GO:0043604,amide biosynthetic process,190,9,19.28,1,1,,,,,,,,,,,,,,,,,,
239,GO:0051641,cellular localization,140,14,14.2,1,1,,,,,,,,,,,,,,,,,,
240,GO:0072350,tricarboxylic acid metabolic process,1,1,0.1,1,1,,,,,,,,,,,,,,,,,,
241,GO:0042330,taxis,4,2,0.41,1,1,,,,,,,,,,,,,,,,,,
242,GO:0050896,response to stimulus,447,38,45.35,1,1,,,,,,,,,,,,,,,,,,
243,GO:0070972,protein localization to endoplasmic reticulum,8,1,0.81,1,1,,,,,,,,,,,,,,,,,,
244,GO:0019941,modification-dependent protein catabolic process,49,5,4.97,1,1,,,,,,,,,,,,,,,,,,
245,GO:0040011,locomotion,9,2,0.91,1,1,,,,,,,,,,,,,,,,,,
246,GO:0051649,establishment of localization in cell,125,14,12.68,1,1,,,,,,,,,,,,,,,,,,
247,GO:0009100,glycoprotein metabolic process,42,3,4.26,1,1,,,,,,,,,,,,,,,,,,
248,GO:0046434,organophosphate catabolic process,8,6,0.81,1,1,,,,,,,,,,,,,,,,,,
